Title,channel_title,published_at,view_count,like_count,comment_count,definition,duration_seconds
Machine Learning FULL Course with Practical (10 HOURS) | Learn Free ML in 2025 | Part-1,WsCube Tech,2024-04-15 13:30:09+00:00,1597050,43241,1630,hd,37007
Machine Learning Tutorial Python -1: What is Machine Learning?,codebasics,2018-06-30 21:31:22+00:00,1594904,16731,270,hd,411
Machine Learning Fundamentals: Bias and Variance,StatQuest with Josh Starmer,2018-09-17 16:00:42+00:00,1587680,43291,1556,hd,396
Deep Learning | What is Deep Learning? | Deep Learning Tutorial For Beginners | 2023 | Simplilearn,Simplilearn,2019-06-03 14:30:00+00:00,1571115,25676,1028,hd,352
Learn Python - Full Course for Beginners [Tutorial],freeCodeCamp.org,2018-07-11 18:00:42+00:00,48004241,1108112,45864,hd,16012
I LEARNED CODING IN A DAY #shorts,Agnit Shorts,2023-03-17 04:30:00+00:00,31141877,1255613,810641,hd,41
Python Tutorial For Beginners In Hindi (With Notes) 🔥,CodeWithHarry,2020-09-24 11:34:17+00:00,24863726,640459,122906,hd,42744
Coding - Expectation vs Reality | Programming - Expectation vs Reality | Codeiyapa #Shorts,Codeiyapa,2021-04-03 11:44:08+00:00,24690677,1119932,7478,hd,38
Python Full Course for free 🐍,Bro Code,2021-02-15 15:00:12+00:00,21432510,987666,27797,hd,43200
Animation vs. Coding,Alan Becker,2025-03-01 13:00:06+00:00,15900984,663212,24497,hd,567
Python Tutorial For Beginners in Hindi | Complete Python Course 🔥,CodeWithHarry,2024-06-16 05:36:24+00:00,15268966,315818,41749,hd,39235
Python Full Course❤️ | Variables & Data Types | Lecture 1,Shradha Khapra,2024-01-26 15:31:21+00:00,12218294,202464,8123,hd,4939
Python Tutorial for Beginners | Learn Python in 1.5 Hours,Apna College,2021-12-02 16:36:14+00:00,11565187,266334,7968,hd,4632
12 Hour Coding Livestream - Creating an Online Game with Python,Tech With Tim,2019-10-18 05:31:30+00:00,11010627,214100,3180,hd,42901
Introduction to Programming & Python | Python Tutorial - Day #1,CodeWithHarry,2022-11-28 11:30:03+00:00,10624609,248480,31781,hd,710
Python Tutorial for Beginners - Full Course (with Notes & Practice Questions),Apna College,2024-02-12 14:24:29+00:00,10009276,162115,8521,hd,37491
How to Start Coding? Learn Programming for Beginners,Apna College,2022-01-25 17:54:00+00:00,9425030,345576,7629,hd,665
Python Tutorial for Absolute Beginners #1 - What Are Variables?,CS Dojo,2017-12-26 14:57:53+00:00,9361587,203407,8573,hd,1478
